timestep,time,golf_0,sprinter_0
179,2023-01-02 20:45:00,0.6449618584326975,0.5486671392643008
180,2023-01-02 21:00:00,0.6449618584326975,0.5486671392643008
181,2023-01-02 21:15:00,0.6449618584326975,0.5486671392643008
182,2023-01-02 21:30:00,0.6449618584326975,0.5486671392643008
183,2023-01-02 21:45:00,0.6449618584326975,0.5486671392643008
184,2023-01-02 22:00:00,0.6449618584326975,0.5486671392643008
185,2023-01-02 22:15:00,0.6449618584326975,0.5486671392643008
186,2023-01-02 22:30:00,0.6449618584326975,0.5486671392643008
187,2023-01-02 22:45:00,0.6449618584326975,0.5486671392643008
188,2023-01-02 23:00:00,0.6449618584326975,0.5486671392643008
189,2023-01-02 23:15:00,0.6449618584326975,0.5486671392643008
190,2023-01-02 23:30:00,0.6449618584326975,0.5486671392643008
191,2023-01-02 23:45:00,0.6449618584326975,0.5486671392643008
192,2023-01-03 00:00:00,0.6449618584326975,0.5486671392643008
193,2023-01-03 00:15:00,0.6449618584326975,0.5486671392643008
194,2023-01-03 00:30:00,0.6449618584326975,0.5486671392643008
195,2023-01-03 00:45:00,0.6449618584326975,0.5486671392643008
196,2023-01-03 01:00:00,0.6449618584326975,0.5486671392643008
197,2023-01-03 01:15:00,0.6449618584326975,0.5486671392643008
198,2023-01-03 01:30:00,0.6449618584326975,0.5486671392643008
199,2023-01-03 01:45:00,0.6449618584326975,0.5486671392643008
200,2023-01-03 02:00:00,0.6449618584326975,0.5486671392643008
201,2023-01-03 02:15:00,0.6449618584326975,0.5486671392643008
202,2023-01-03 02:30:00,0.6449618584326975,0.5486671392643008
203,2023-01-03 02:45:00,0.6449618584326975,0.5486671392643008
204,2023-01-03 03:00:00,0.6449618584326975,0.5486671392643008
205,2023-01-03 03:15:00,0.6449618584326975,0.5486671392643008
206,2023-01-03 03:30:00,0.6449618584326975,0.5486671392643008
207,2023-01-03 03:45:00,0.6449618584326975,0.5486671392643008
208,2023-01-03 04:00:00,0.6449618584326975,0.5486671392643008
209,2023-01-03 04:15:00,0.6449618584326975,0.5486671392643008
210,2023-01-03 04:30:00,0.6449618584326975,0.5486671392643008
211,2023-01-03 04:45:00,0.6449618584326975,0.5486671392643008
212,2023-01-03 05:00:00,0.6449618584326975,0.5486671392643008
213,2023-01-03 05:15:00,0.6449618584326975,0.5486671392643008
214,2023-01-03 05:30:00,0.6449618584326975,0.5486671392643008
215,2023-01-03 05:45:00,0.6449618584326975,0.5486671392643008
216,2023-01-03 06:00:00,0.6449618584326975,0.5486671392643008
217,2023-01-03 06:15:00,0.6449618584326975,0.5486671392643008
218,2023-01-03 06:30:00,0.6449618584326975,0.5486671392643008
219,2023-01-03 06:45:00,0.6449618584326975,0.5486671392643008
220,2023-01-03 07:00:00,0.6449618584326975,0.5486671392643008
221,2023-01-03 07:15:00,0.6449618584326975,0.5486671392643008
222,2023-01-03 07:30:00,0.6449618584326975,0.5486671392643008
223,2023-01-03 07:45:00,0.6449618584326975,0.5486671392643008
224,2023-01-03 08:00:00,0.6449618584326975,0.5486671392643008
225,2023-01-03 08:15:00,0.638421786085528,0.5486671392643008
226,2023-01-03 08:30:00,0.6318817137383584,0.5486671392643008
227,2023-01-03 08:45:00,0.625341641391189,0.5444345196840223
228,2023-01-03 09:00:00,0.6188015690440194,0.5402019001037439
229,2023-01-03 09:15:00,0.6122614966968499,0.5359692805234654
230,2023-01-03 09:30:00,0.6057214243496803,0.531736660943187
231,2023-01-03 09:45:00,0.5991813520025109,0.5275040413629085
232,2023-01-03 10:00:00,0.5926412796553413,0.5232714217826301
233,2023-01-03 10:15:00,0.5861012073081718,0.5190388022023515
234,2023-01-03 10:30:00,0.5795611349610023,0.5148061826220731
235,2023-01-03 10:45:00,0.5730210626138328,0.5105735630417947
236,2023-01-03 11:00:00,0.5664809902666632,0.5063409434615163
237,2023-01-03 11:15:00,0.5599409179194937,0.5021083238812377
238,2023-01-03 11:30:00,0.5534008455723243,0.4978757043009593
239,2023-01-03 11:45:00,0.5468607732251547,0.49364308472068086
240,2023-01-03 12:00:00,0.5403207008779852,0.48941046514040243
241,2023-01-03 12:15:00,0.5337806285308156,0.48517784556012394
242,2023-01-03 12:30:00,0.5272405561836462,0.48094522597984546
243,2023-01-03 12:45:00,0.5207004838364766,0.47671260639956703
244,2023-01-03 13:00:00,0.5141604114893071,0.4724799868192886
245,2023-01-03 13:15:00,0.5076203391421376,0.4682473672390101
246,2023-01-03 13:30:00,0.5010802667949681,0.46401474765873163
247,2023-01-03 13:45:00,0.49454019444779856,0.4597821280784532
248,2023-01-03 14:00:00,0.48800012210062904,0.45554950849817477
249,2023-01-03 14:15:00,0.4814600497534595,0.4513168889178963
250,2023-01-03 14:30:00,0.4814600497534595,0.44708426933761786
251,2023-01-03 14:45:00,0.4814600497534595,0.44285164975733937
252,2023-01-03 15:00:00,0.4814600497534595,0.43861903017706094
253,2023-01-03 15:15:00,0.4814600497534595,0.43438641059678246
254,2023-01-03 15:30:00,0.4814600497534595,0.43015379101650403
255,2023-01-03 15:45:00,0.4814600497534595,0.42592117143622554
256,2023-01-03 16:00:00,0.4814600497534595,0.4216885518559471
257,2023-01-03 16:15:00,0.4814600497534595,0.4174559322756687
258,2023-01-03 16:30:00,0.4814600497534595,0.4132233126953902
259,2023-01-03 16:45:00,0.4814600497534595,0.4089906931151117
260,2023-01-03 17:00:00,0.4814600497534595,0.4047580735348333
