datetime,PV_kW
2015-04-02 22:45:00,0.0
2015-04-02 23:00:00,0.0
2015-04-02 23:15:00,0.0
2015-04-02 23:30:00,0.0
2015-04-02 23:45:00,0.0
2015-04-03 00:00:00,0.0
2015-04-03 00:15:00,0.0
2015-04-03 00:30:00,0.0
2015-04-03 00:45:00,0.0
2015-04-03 01:00:00,0.0
2015-04-03 01:15:00,0.0
2015-04-03 01:30:00,0.0
2015-04-03 01:45:00,0.0
2015-04-03 02:00:00,0.0
2015-04-03 02:15:00,0.0
2015-04-03 02:30:00,0.0
2015-04-03 02:45:00,0.0
2015-04-03 03:00:00,0.0
2015-04-03 03:15:00,0.0
2015-04-03 03:30:00,0.0
2015-04-03 03:45:00,0.0
2015-04-03 04:00:00,0.0
2015-04-03 04:15:00,0.0
2015-04-03 04:30:00,0.0
2015-04-03 04:45:00,0.0
2015-04-03 05:00:00,0.0
2015-04-03 05:15:00,0.0
2015-04-03 05:30:00,0.0
2015-04-03 05:45:00,0.0
2015-04-03 06:00:00,0.0
2015-04-03 06:15:00,0.0
2015-04-03 06:30:00,0.0
2015-04-03 06:45:00,0.1421308995739542
2015-04-03 07:00:00,0.5458090167727204
2015-04-03 07:15:00,1.0392742827473902
2015-04-03 07:30:00,1.5425252737960151
2015-04-03 07:45:00,2.0793599935126323
2015-04-03 08:00:00,2.615938627516888
2015-04-03 08:15:00,3.1679678088846788
2015-04-03 08:30:00,3.738967896844718
2015-04-03 08:45:00,4.260662295641319
2015-04-03 09:00:00,4.699645532307237
2015-04-03 09:15:00,5.190793119703232
2015-04-03 09:30:00,5.640362629799087
2015-04-03 09:45:00,5.832495327161179
2015-04-03 10:00:00,6.438911468058917
2015-04-03 10:15:00,6.816454093966978
2015-04-03 10:30:00,7.068062217012577
2015-04-03 10:45:00,7.032858783541466
2015-04-03 11:00:00,7.059078682993727
2015-04-03 11:15:00,7.627224969364296
2015-04-03 11:30:00,7.893180413007024
2015-04-03 11:45:00,8.063386905738778
2015-04-03 12:00:00,8.218630755314818
2015-04-03 12:15:00,8.252413139109606
2015-04-03 12:30:00,8.317770385662024
2015-04-03 12:45:00,8.374082104498218
2015-04-03 13:00:00,8.364127503773188
2015-04-03 13:15:00,8.295734391098305
2015-04-03 13:30:00,8.183842663444707
2015-04-03 13:45:00,8.035671423895328
2015-04-03 14:00:00,7.776512113436191
2015-04-03 14:15:00,7.525196857418768
2015-04-03 14:30:00,7.186844504616348
2015-04-03 14:45:00,6.907969333715116
2015-04-03 15:00:00,6.611905305469778
2015-04-03 15:15:00,6.182202413035865
2015-04-03 15:30:00,5.679256377011577
2015-04-03 15:45:00,5.094854725223507
2015-04-03 16:00:00,4.4085443467903245
2015-04-03 16:15:00,3.6927919936713054
2015-04-03 16:30:00,2.8758260436054988
2015-04-03 16:45:00,2.001085731504418
2015-04-03 17:00:00,1.1000240705540338
2015-04-03 17:15:00,0.3606236703303784
2015-04-03 17:30:00,0.2078526729439725
2015-04-03 17:45:00,0.0
2015-04-03 18:00:00,0.0
2015-04-03 18:15:00,0.0
2015-04-03 18:30:00,0.0
2015-04-03 18:45:00,0.0
2015-04-03 19:00:00,0.0
2015-04-03 19:15:00,0.0
2015-04-03 19:30:00,0.0
2015-04-03 19:45:00,0.0
2015-04-03 20:00:00,0.0
2015-04-03 20:15:00,0.0
2015-04-03 20:30:00,0.0
2015-04-03 20:45:00,0.0
2015-04-03 21:00:00,0.0
2015-04-03 21:15:00,0.0
2015-04-03 21:30:00,0.0
2015-04-03 21:45:00,0.0
2015-04-03 22:00:00,0.0
2015-04-03 22:15:00,0.0
2015-04-03 22:30:00,0.0
2015-04-03 22:45:00,0.0
2015-04-03 23:00:00,0.0
2015-04-03 23:15:00,0.0
2015-04-03 23:30:00,0.0
2015-04-03 23:45:00,0.0
2015-04-04 00:00:00,0.0
2015-04-04 00:15:00,0.0
2015-04-04 00:30:00,0.0
2015-04-04 00:45:00,0.0
2015-04-04 01:00:00,0.0
2015-04-04 01:15:00,0.0
2015-04-04 01:30:00,0.0
2015-04-04 01:45:00,0.0
2015-04-04 02:00:00,0.0
2015-04-04 02:15:00,0.0
2015-04-04 02:30:00,0.0
2015-04-04 02:45:00,0.0
2015-04-04 03:00:00,0.0
2015-04-04 03:15:00,0.0
2015-04-04 03:30:00,0.0
2015-04-04 03:45:00,0.0
2015-04-04 04:00:00,0.0
2015-04-04 04:15:00,0.0
2015-04-04 04:30:00,0.0
2015-04-04 04:45:00,0.0
2015-04-04 05:00:00,0.0
2015-04-04 05:15:00,0.0
2015-04-04 05:30:00,0.0
2015-04-04 05:45:00,0.0
2015-04-04 06:00:00,0.0
2015-04-04 06:15:00,0.0
2015-04-04 06:30:00,0.0061947944680965
2015-04-04 06:45:00,0.1959026825104248
2015-04-04 07:00:00,0.5395012228097129
2015-04-04 07:15:00,1.0295038018523914
2015-04-04 07:30:00,1.509905901460057
2015-04-04 07:45:00,2.024091574199613
2015-04-04 08:00:00,2.559325071822603
2015-04-04 08:15:00,3.092649258685992
2015-04-04 08:30:00,3.608547760786665
2015-04-04 08:45:00,4.136692506859597
2015-04-04 09:00:00,4.597651619553673
2015-04-04 09:15:00,5.0318174456729565
2015-04-04 09:30:00,5.468171280437299
2015-04-04 09:45:00,5.690393086661165
2015-04-04 10:00:00,6.224752659164027
2015-04-04 10:15:00,6.544912371598834
2015-04-04 10:30:00,6.840514281228547
2015-04-04 10:45:00,7.106004671065867
2015-04-04 11:00:00,7.353271719043172
2015-04-04 11:15:00,7.589145064137753
2015-04-04 11:30:00,7.7637872874080385
2015-04-04 11:45:00,7.930978104539548
2015-04-04 12:00:00,8.076578642668448
2015-04-04 12:15:00,8.150821427938725
2015-04-04 12:30:00,8.159974101372889
2015-04-04 12:45:00,8.185233306057219
2015-04-04 13:00:00,8.169984719164534
2015-04-04 13:15:00,8.128273512682174
2015-04-04 13:30:00,8.068480295847593
2015-04-04 13:45:00,7.854495665192327
2015-04-04 14:00:00,7.553418728591589
2015-04-04 14:15:00,7.359066422748092
2015-04-04 14:30:00,7.091674704456692
2015-04-04 14:45:00,6.761748479788563
